RSSI;ID;COUNT;TIMER;Vbat;Text;Tint;Ax;Ay;Az;Atot;Atot_mps;Gx;Gy;Gz;Mx;My;Mz;Mtot;Roll;Pitch;Heading;Pressure;Height;Vertical_velocity;Vertical_accelration;Vertical_acc_g;Non_grav_force
-76;TRIDENT;1130;518.95;4.06;31.2;38.13;-0.04;1.49;0.47;1.57;15.4017;-102.7;250.13;29.74;-145.59;78.42;-337.21;375.58;121.3;32.71;97.97;94.74;569.6924926;-6.054924892;9.141214067;0.931826103;7.707520765
-68;TRIDENT;1131;519.41;4.06;31.2;38.13;-0.08;1.06;0.4;1.13;11.0853;-157.21;-4.92;143.51;-116.65;82.47;-295.08;327.84;121.33;26.47;107.08;94.77;565.8869341;-8.272953428;-4.821801165;-0.491518977;10.91901427
-68;TRIDENT;1132;519.87;4.06;31.15;38.12;0.02;1.21;0.47;1.3;12.753;126.4;63.31;235.92;-116.8;72.42;-294.63;325.11;113.05;21.36;102.66;94.81;563.0482764;-6.170994968;4.569474913;0.465797647;8.75902077
-68;TRIDENT;1133;520.33;4.06;31.12;38.12;0.08;1.26;0.4;1.32;12.9492;189.33;250.13;230.47;-135.99;46.33;-321.32;351.98;117.21;11.78;100.29;94.84;559.3021276;-8.143801748;-4.288710391;-0.43717741;10.79640339
-68;TRIDENT;1134;520.78;4.06;31.1;38.11;0.03;1.34;0.38;1.4;13.734;-17.02;250.13;250.13;-111.4;88.91;-298.83;331.08;124.77;-1.03;104.23;94.88;556.4662295;-6.301995712;4.092902301;0.41721736;8.868632471
-71;TRIDENT;1135;521.24;4.06;31.07;38.11;-0.04;1.42;0.42;1.48;14.5188;-172.63;250.13;245.36;-135.69;75.42;-304.83;342.08;123.19;-14.89;106.96;94.91;552.7233315;-8.136734732;-3.988563086;-0.406581354;10.72736951
-75;TRIDENT;1136;521.7;4.06;31.05;38.12;-0.1;1.28;0.41;1.35;13.2435;-184.72;97.6;109.08;-118.45;104.66;-322.07;358.77;113.79;-27.89;111.55;94.95;549.0182809;-8.054457933;0.178862606;0.018232682;9.768861601
-75;TRIDENT;1137;522.16;4.06;31.05;38.11;-0.02;1.11;0.44;1.19;11.6739;-50.46;-9.56;250.13;-134.8;81.42;-307.82;345.77;104.1;-33.05;115.37;94.99;545.2607149;-8.168621696;-0.248182094;-0.025298888;9.867081882
-74;TRIDENT;1138;522.62;4.06;31.02;38.11;0.04;1.35;0.5;1.44;14.1264;109.1;141.36;241.45;-115.9;40.33;-308.12;331.66;103.56;-42.52;112.98;95.03;542.4483068;-6.113930622;4.466719727;0.455323112;8.782654463
-72;TRIDENT;1139;523.08;4.06;31;38.11;0.06;1.38;0.44;1.45;14.2245;106.41;250.13;250.13;-128.95;76.77;-300.78;336.14;104.96;-52.43;117.16;95.06;538.6941965;-8.161109426;-4.450388705;-0.45365838;10.8335894
-71;TRIDENT;1140;523.53;4.06;30.97;38.11;-0.01;1.38;0.46;1.46;14.3226;-94.82;224.92;250.13;-122.8;66.12;-295.83;327.06;96.25;-63.8;132.38;95.1;534.9948511;-8.220767577;-0.132573668;-0.013514135;9.840491944
-69;TRIDENT;1141;523.99;4.06;30.97;38.11;-0.08;1.38;0.46;1.46;14.3226;-250.14;122.61;250.13;-121.6;102.11;-318.92;356.26;65.85;-72.09;160.83;95.14;531.261825;-8.115274059;0.229333735;0.023377547;9.757253241
-70;TRIDENT;1142;524.45;4.06;30.95;38.11;0.02;1.4;0.51;1.49;14.6169;-95.63;157.68;250.13;-122.2;55.03;-297.03;325.86;19.96;-75.17;198.17;95.18;528.4892686;-6.027296562;4.539081514;0.462699441;8.766011252
-69;TRIDENT;1143;524.91;4.06;30.95;38.1;-0.01;1.34;0.45;1.41;13.8321;-131.92;168.05;250.13;-124.45;97.16;-312.47;350.1;-15.33;-69.49;231.01;95.21;524.7591124;-8.109035148;-4.525518664;-0.461316887;10.85086929
-68;TRIDENT;1144;525.37;4.06;30.93;38.1;-0.08;1.3;0.41;1.36;13.3416;-179.34;211.68;169.07;-132.55;78.27;-303.78;340.55;-32.89;-59.16;244.81;95.25;521.0649703;-8.030743655;0.170198896;0.017349531;9.770854254
-74;TRIDENT;1145;525.82;4.06;30.93;38.11;-0.06;1.23;0.48;1.32;12.9492;-111.4;86.12;167.54;-109.46;98.96;-308.27;341.77;-40.54;-48.84;245.18;95.29;518.2440537;-6.268703688;3.915644373;0.399148254;8.909401794
-72;TRIDENT;1146;526.28;4.06;30.9;38.11;0;1.29;0.52;1.39;13.6359;-43.28;54.72;244.31;-137.94;77.07;-307.97;346.15;-47.12;-41.81;248.34;95.32;515.4752501;-6.019138122;0.542533838;0.055304163;9.685217217
-72;TRIDENT;1147;526.74;4.06;30.9;38.11;0.05;1.33;0.43;1.4;13.734;180.27;151.31;250.13;-114.7;41.83;-305.43;328.93;-51.75;-32.69;253.42;95.35;510.8621449;-10.02848974;-8.715981784;-0.888479285;11.81467581
-70;TRIDENT;1148;527.2;4.06;30.9;38.1;-0.01;1.29;0.4;1.35;13.2435;-24.02;250.13;250.13;-127.3;87.11;-303.63;340.56;-45.76;-21.7;256.06;95.4;507.1397089;-8.092251972;4.209212545;0.429073654;8.841881115
-68;TRIDENT;1149;527.66;4.06;30.88;38.11;-0.03;1.38;0.45;1.45;14.2245;-141.69;202.12;250.13;-118.15;65.97;-295.68;325.17;-46.6;-7.76;255.75;95.44;504.3739064;-6.012614223;4.520951629;0.460851338;8.770181125
-66;TRIDENT;1150;528.12;4.06;30.88;38.1;-0.04;1.25;0.43;1.32;12.9492;-164.55;183.39;240.21;-122.35;101.96;-321.47;358.76;-51.86;5.32;255.79;95.47;499.7657991;-10.01762455;-8.706544184;-0.887517246;11.81250516
-67;TRIDENT;1151;528.57;4.06;30.88;38.11;-0.03;1.3;0.5;1.39;13.6359;-135.6;96.92;250.13;-131.95;66.27;-300.48;334.8;-58.33;16.92;255.6;95.52;496.0807195;-8.189065886;4.063463693;0.414216482;8.875403351
-66;TRIDENT;1152;529.03;4.06;30.88;38.1;0.04;1.52;0.58;1.62;15.8922;-3.92;90.35;250.13;-106.91;79.32;-294.93;323.58;-63.04;27.81;256.75;95.56;492.3968887;-8.008327679;0.392909146;0.040051901;9.719630896
-66;TRIDENT;1153;529.49;4.06;30.88;38.09;0.03;1.33;0.42;1.4;13.734;84;250.13;250.13;-133.75;49.78;-308.57;339.98;-62.97;39.04;257.13;95.6;489.6348347;-6.004465253;4.356222663;0.444059395;8.808068787
